,Basic,Basic,Basic,Basic,Basic,,,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,,Basic,Basic,,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,,,,,,,,,,,,Basic,Basic,Basic,Basic,,,,,,,,,Basic,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naming,,,,,Bonus data,,Price & image,,,Body,,,,,,,,,,Engine,,,,,,,,,,,,,,,,,,,,,Fuel,,,,Drivetrain,,,,,,,,,,Colour,,Safety,,,,,,,Braking & Traction,,,,,,,,,,,Locks & Security,,,,Comfort & Convenience,,,,,,,,,,,,,Seats & Upholstery,,,,,,,,,,,,,,,,,,,,,,,,Storage,,,,,"Doors, Windows, Mirrors & Wipers",,,,,,,,,,,,,,,Exterior,,,,,,,Lighting,,,,,,,,,,,,Instrumentation,,,,,,,,,,,,,,"Entertainment, Information & Communication",,,,,,,,,,,,,,,,,Manufacturer Warranty,,
,ID,Make,Model,Version,Status as 1 Nov 2017,Car class (personal opinion),Body style,Price production cars,Price discontinued cars (last recorded price),Image URL,Length (mm),Width (mm),Height (mm),Wheelbase (mm),Ground clearance (mm),Kerb weight (kg),Bootspace (litres),No of doors,Seating capacity,No of seating rows,Displacement (cc),Max power (bhp),Max power (rpm),Max torque (Nm),Max torque (rpm),Transmission type,No of gears,Drivetrain,Engine type,Cylinders,Bore x Stroke (mm),Compression ratio,Valves per cylinder,Dual clutch,Sport mode,Fuel system,Turbocharger/supercharger,Turbocharge type,Driving modes,Manual shifting for automatic,Engine start-stop,Fuel type,Alternate fuel type,Mileage (kmpl),Fuel tank capacity (litres),Suspension front,Suspension rear,Brake type front,Brake type rear,Steering type,Turning radius (m),Wheels,Spare wheel,Tyres front,Tyres rear,Colour names,Colour RGB,Airbags,Dual-Stage Airbags,Middle rear three-point seatbelt,Middle Rear Head Rest,Tyre Pressure Monitoring System (TMPS),Child Seat Anchor Points,Seat Belt Warning,Anti-Lock Braking System (ABS),Electronic Brake-force Distribution (EBD),Brake Assist (BA),Electronic Stability Program (ESP),Four-Wheel-Drive,Hill Hold Control,Traction Control System (TC/TCS),Ride Height Adjustment,Hill Descent Control,Limited Slip Differential (LSD),Differential Lock,Engine immobilizer,Central Locking,Speed Sensing Door Lock,Child Safety Lock,Air Conditioner,Rear AC,12V Power Outlets,Steering Adjustment,Keyless Start/ Button Start,Headlight off and Ignition Key Off Reminder,Cruise Control,Parking Sensors,Parking Assist,Anti-glare Mirrors,Vanity Mirrors on Sun Visors,Heater,Cabin-Boot Access,Seat Upholstery,Leather-wrapped Steering Wheel,Leather-wrapped Gear Knob,Driver Seat Adjustment,Head-rests,Front Passenger Seat Adjustment,Lumbar Support,Adjustable Lumbar Support,Driver Armrest,Rear Passenger Seats,Rear Passenger Adjustable seats,3rd Row Seats,3rd Row Seat Adjustment,Ventilated Seats,Ventilated Seat Type,Interiors,Interior Colours,Rear Armrest,Folding Rear Seat,Split Rear Seat,Split Third Row Seat,Front Seat Pockets,Adjustable Head-rests,Electrically Adjustable Headrests,Cup Holders,Driver Armrest Storage,Cooled Glove Box,Sunglass Holder,Third Row Cup Holders,One Touch -Down,One Touch - Up,Power Windows,Outside Rear View Mirrors (ORVMs),Adjustable ORVM,Turn Indicators on ORVM,Rear Defogger,Rear Wiper,Exterior Door Handles,Interior Door Handles,Rain-sensing Wipers,Door Pockets,Door Blinds,Rear Window Blind,Boot-lid Opener,Sunroof / Moonroof,Roof rails,Roof Mounted Antenna,Body Coloured Bumpers,Chrome Finish Exhaust pipe,Body Kit,Rub - Strips,Cornering Headlights,Headlamps,Automatic Head Lamps,Follow me home headlamps,Daytime Running Lights,Fog Lamps,Tail Lamps,Cabin Lamps,Headlight Height Adjuster,Glove Box Lamp,Lights on Vanity Mirrors,Rear Reading Lamp,Instrument Cluster,Trip Meter,Average Fuel Consumption,Average Speed,Distance to Empty,Clock,Low Fuel Level Warning,Door Ajar Warning,Adjustable Cluster Brightness,Gear Indicator,Shift Indicator,Heads Up Display (HUD),Tachometer,Instantaneous Consumption,Integrated (in-dash) Music System,Head Unit Size,Display,Display Screen for Rear Passengers,GPS Navigation System,Speakers,USB Compatibility,Aux Compatibility,Bluetooth Compatibility,MP3 Playback,CD Player,DVD Playback,AM/FM Radio,iPod Compatibility,Internal Hard-drive,Steering mounted controls,Voice Command,Warranty (Years),Warranty (Kilometres),
,Number of cars with data available,,,212,212,212,212,40,172,150,212,212,212,212,106,109,89,212,212,131,212,212,212,212,212,212,208,179,176,135,7,9,117,108,114,129,71,71,77,77,77,211,115,207,206,190,190,212,212,76,156,77,132,212,184,210,210,209,125,125,123,77,77,133,209,133,133,133,77,133,133,77,125,125,125,210,209,133,193,211,135,133,211,135,123,125,77,125,125,133,133,77,210,133,133,77,133,77,127,63,133,77,77,77,77,77,77,77,67,133,125,206,125,131,133,77,205,77,133,133,125,77,77,209,77,135,134,185,210,125,108,125,132,77,77,135,206,133,133,133,133,77,77,125,135,133,133,133,207,77,77,125,133,133,125,77,112,133,133,133,133,133,133,77,77,77,77,77,125,133,133,77,77,133,133,125,125,125,133,209,133,205,125,125,125,77,135,135,
,Completion percentage,,,100.00%,100.00%,100.00%,100.00%,18.87%,81.13%,70.75%,100.00%,100.00%,100.00%,100.00%,50.00%,51.42%,41.98%,100.00%,100.00%,61.79%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.11%,84.43%,83.02%,63.68%,3.30%,4.25%,55.19%,50.94%,53.77%,60.85%,33.49%,33.49%,36.32%,36.32%,36.32%,99.53%,54.25%,97.64%,97.17%,89.62%,89.62%,100.00%,100.00%,35.85%,73.58%,36.32%,62.26%,100.00%,86.79%,99.06%,99.06%,98.58%,58.96%,58.96%,58.02%,36.32%,36.32%,62.74%,98.58%,62.74%,62.74%,62.74%,36.32%,62.74%,62.74%,36.32%,58.96%,58.96%,58.96%,99.06%,98.58%,62.74%,91.04%,99.53%,63.68%,62.74%,99.53%,63.68%,58.02%,58.96%,36.32%,58.96%,58.96%,62.74%,62.74%,36.32%,99.06%,62.74%,62.74%,36.32%,62.74%,36.32%,59.91%,29.72%,62.74%,36.32%,36.32%,36.32%,36.32%,36.32%,36.32%,36.32%,31.60%,62.74%,58.96%,97.17%,58.96%,61.79%,62.74%,36.32%,96.70%,36.32%,62.74%,62.74%,58.96%,36.32%,36.32%,98.58%,36.32%,63.68%,63.21%,87.26%,99.06%,58.96%,50.94%,58.96%,62.26%,36.32%,36.32%,63.68%,97.17%,62.74%,62.74%,62.74%,62.74%,36.32%,36.32%,58.96%,63.68%,62.74%,62.74%,62.74%,97.64%,36.32%,36.32%,58.96%,62.74%,62.74%,58.96%,36.32%,52.83%,62.74%,62.74%,62.74%,62.74%,62.74%,62.74%,36.32%,36.32%,36.32%,36.32%,36.32%,58.96%,62.74%,62.74%,36.32%,36.32%,62.74%,62.74%,58.96%,58.96%,58.96%,62.74%,98.58%,62.74%,96.70%,58.96%,58.96%,58.96%,36.32%,63.68%,63.68%,

,INDIA CAR DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copyright 2015-2019 by Teoalida - cardatabase.teoalida.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"You are allowed to use this file in your business or company, or convert in SQL database for your website or software development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"You are not allowed to distribute, resell or post the Excel file or converted files on other websites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

